"consumption_id","building_id","price_id","consumption_date","amount"
1,2,1,"2018-09-01","4333.00"
2,8,1,"2018-09-01","4765.00"
3,11,1,"2018-09-01","5964.00"
4,10,1,"2018-09-01","4600.00"
5,4,1,"2018-08-01","3937.00"
6,5,1,"2018-08-01","5507.00"
7,3,1,"2018-08-01","6729.00"
8,9,1,"2018-08-01","5065.00"
9,7,1,"2018-08-01","6561.00"
10,6,1,"2018-08-01","4777.00"
11,1,1,"2018-08-01","5700.00"
12,2,1,"2018-08-01","6144.00"
13,8,1,"2018-08-01","4099.00"
14,11,1,"2018-08-01","3996.00"
15,10,1,"2018-08-01","4107.00"
16,4,1,"2018-07-01","5227.00"
17,5,1,"2018-07-01","6668.00"
18,3,1,"2018-07-01","4650.00"
19,9,1,"2018-07-01","6471.00"
20,7,1,"2018-07-01","5678.00"
21,6,1,"2018-07-01","4130.00"
22,1,1,"2018-07-01","6005.00"
23,2,1,"2018-07-01","6089.00"
24,8,1,"2018-07-01","5773.00"
25,11,1,"2018-07-01","5559.00"
26,10,1,"2018-07-01","5099.00"
27,4,1,"2018-06-01","3894.00"
28,5,1,"2018-06-01","4868.00"
29,3,1,"2018-06-01","4076.00"
30,9,1,"2018-06-01","5664.00"
31,7,1,"2018-06-01","3909.00"
32,6,1,"2018-06-01","5146.00"
33,1,1,"2018-06-01","4294.00"
34,2,1,"2018-06-01","4664.00"
35,8,1,"2018-06-01","5071.00"
36,11,1,"2018-06-01","5159.00"
37,10,1,"2018-06-01","6358.00"
38,4,1,"2018-05-01","4774.00"
39,5,1,"2018-05-01","5073.00"
40,3,1,"2018-05-01","5258.00"
41,9,1,"2018-05-01","5355.00"
42,7,1,"2018-05-01","4760.00"
43,6,1,"2018-05-01","3581.00"
44,1,1,"2018-05-01","4011.00"
45,2,1,"2018-05-01","5048.00"
46,8,1,"2018-05-01","5400.00"
47,11,1,"2018-05-01","6062.00"
48,10,1,"2018-05-01","5323.00"
49,4,1,"2018-04-01","5856.00"
50,5,1,"2018-04-01","4136.00"
51,3,1,"2018-04-01","6195.00"
52,9,1,"2018-04-01","3872.00"
53,7,1,"2018-04-01","5985.00"
54,6,1,"2018-04-01","4380.00"
55,1,1,"2018-04-01","5766.00"
56,2,1,"2018-04-01","5636.00"
57,8,1,"2018-04-01","4717.00"
58,11,1,"2018-04-01","5671.00"
59,10,1,"2018-04-01","6387.00"
60,4,1,"2018-03-01","4577.00"
61,5,1,"2018-03-01","5522.00"
62,3,1,"2018-03-01","5548.00"
63,9,1,"2018-03-01","5203.00"
64,7,1,"2018-03-01","5062.00"
65,6,1,"2018-03-01","4631.00"
66,1,1,"2018-03-01","6135.00"
67,2,1,"2018-03-01","4207.00"
68,8,1,"2018-03-01","5400.00"
69,11,1,"2018-03-01","5347.00"
70,10,1,"2018-03-01","5989.00"
71,4,1,"2018-02-01","5249.00"
72,5,1,"2018-02-01","4803.00"
73,3,1,"2018-02-01","4553.00"
74,9,1,"2018-02-01","3947.00"
75,7,1,"2018-02-01","4524.00"
76,6,1,"2018-02-01","5656.00"
77,1,1,"2018-02-01","6334.00"
78,2,1,"2018-02-01","4668.00"
79,8,1,"2018-02-01","3550.00"
80,11,1,"2018-02-01","5406.00"
81,10,1,"2018-02-01","5705.00"
82,4,1,"2018-01-01","5149.00"
83,5,1,"2018-01-01","6262.00"
84,3,1,"2018-01-01","5442.00"
85,9,1,"2018-01-01","4997.00"
86,7,1,"2018-01-01","3496.00"
87,6,1,"2018-01-01","5016.00"
88,1,1,"2018-01-01","5335.00"
89,2,1,"2018-01-01","3381.00"
90,8,1,"2018-01-01","4910.00"
91,11,1,"2018-01-01","4130.00"
92,10,1,"2018-01-01","4309.00"
93,4,1,"2018-12-01","4743.00"
94,5,1,"2018-12-01","5242.00"
95,3,1,"2018-12-01","6291.00"
96,9,1,"2018-12-01","6314.00"
